"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YK4XDD4T","journalArticle","2001","Makki, Shiva S.; Somwaru, Agapi","Evidence of Adverse Selection in Crop Insurance Markets","The Journal of Risk and Insurance","","00224367","10.2307/2691544","https://www.jstor.org/stable/2691544?origin=crossref","This article analyzes farmers' choices of crop insurance contracts and offers empirical evidence of adverse selection in crop insurance markets. Farmers' risk characteristics, their level of income, and the cost of insurance significantly affect the choice of yield and revenue insurance products as well as the selection of alternative coverage levels. Empirical analysis indicates that high-risk farmers are more likely to select revenue insurance contracts and higher coverage levels. Results show that low-risk farmers are over-charged and high-risk farmers are undercharged for comparable insurance contracts, implying informational asymmetries in the crop insurance market.","2001-12","2023-04-13 10:07:28","2023-04-13 10:07:31","","685","","4","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHCTSQN8","journalArticle","1993","Quiggin, John C.; Karagiannis, Giannis; Stanton, J.","CROP INSURANCE AND CROP PRODUCTION: AN EMPIRICAL STUDY OF MORAL HAZARD AND ADVERSE SELECTION","Australian Journal of Agricultural Economics","","00049395","10.1111/j.1467-8489.1993.tb00531.x","https://onlinelibrary.wiley.com/doi/10.1111/j.1467-8489.1993.tb00531.x","","1993-08","2023-04-13 10:07:28","2023-04-13 10:07:31","","95-113","","2","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y38VLTQY","bookSection","2017","Smith, Vincent H.; Goodwin, Barry K.","Crop insurance, moral hazard, and agricultural chemical use","The Economics of Agri-Environmental Policy","978-1-351-14696-8","","","","This study examines the relationship between chemical input use and crop insurance purchase decisions for a sample of Kansasdry land wheat farmers. Recent research by Horowitz and Lichtenberg indicated that, contrary to conventional wisdom, farmers that purchased insurance tended to use relatively more chemical inputs than farmers who did not insure. In contrast, our results confirm the conventional view that moral hazard incentives lead insured farmers to use fewer chemical inputs. Implications for the joint determination of insurance and input use decision sand appropriate estimation techniques are discussed.","2017","2023-04-13 10:07:28","2023-04-13 10:07:32","","","","","","","","","","","","","","","","","","","","","","DOI: 10.2307/1243714 ISSN: 0002-9092","","","","","Crop insurance; Input use; Moral hazard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EECZQS8Q","journalArticle","2006","Finkelstein, Amy; McGarry, Kathleen","Multiple Dimensions of Private Information: Evidence from the Long-Term Care Insurance Market","American Economic Review","","0002-8282","10.1257/aer.96.4.938","https://pubs.aeaweb.org/doi/10.1257/aer.96.4.938","We demonstrate the existence of multiple dimensions of private information in the long-term care insurance market. Two types of people purchase insurance: individuals with private information that they are high risk and individuals with private information that they have strong taste for insurance. Ex post, the former are higher risk than insurance companies expect, while the latter are lower risk. In aggregate, those with more insurance are not higher risk. Our results demonstrate that insurance markets may suffer from asymmetric information even absent a positive correlation between insurance coverage and risk occurrence. The results also suggest a general test for asymmetric information.","2006-08-01","2023-04-13 10:07:28","2023-04-13 10:07:32","","938-958","","4","96","","","","","","","","","","","","","","","","","PMID: 21253439","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IX4RK38S","journalArticle","2001","de Meza, David; Webb, David C.","Advantageous Selection in Insurance Markets","The RAND Journal of Economics","","07416261","10.2307/2696408","http://doi.wiley.com/10.2307/2696408","This article reverses the standard conclusion that asymmetric information plus competition results in insufficient insurance provision. Risk-tolerant individuals take few precautions and are disinclined to insure, but they are drawn into a pooling equilibrium by the low premiums created by the presence of safer, more risk-averse types. Taxing insurance drives out the reckless clients, allowing a strict Pareto gain. This result depends on administrative costs in processing claims and issuing policies, as does the novel finding of a pure-strategy, partial-pooling, subgame-perfect Nash equilibrium in the insurance market.","2001","2023-04-13 10:07:28","2023-04-13 10:07:30","","249","","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L58D568A","bookSection","1999","Dionne, Georges; Gouriéroux, Christian; Vanasse, Charles","Evidence of Adverse Selection in Automobile Insurance Markets","","","","","http://link.springer.com/10.1007/978-1-4615-4058-8_2","","1999","2023-04-24 16:21:35","2023-04-24 16:21:37","","13-46","","","","","","","","","","","","","","","","","","","","DOI: 10.1007/978-1-4615-4058-8_2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DQKSXLN7","bookSection","2010","McCarthy, David; Mitchell, Olivia S.","International Adverse Selection in Life Insurance and Annuities","Aging in Advanced Industrial States","","","","http://link.springer.com/10.1007/978-90-481-3553-0_6","","2010","2023-04-24 16:21:35","2023-04-24 16:21:38","","119-135","","","","","","","","","","","Springer Netherlands","Dordrecht","","","","","","","","DOI: 10.1007/978-90-481-3553-0_6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q6RCSYTR","journalArticle","2000","Chiappori, Pierre‐Andre; Salanie, Bernard","Testing for Asymmetric Information in Insurance Markets","Journal of Political Economy","","0022-3808","10.1086/262111","https://www.journals.uchicago.edu/doi/10.1086/262111","The first goal of this paper is to provide a simple and general test of the presence of asymmetric information in contractual relationships within a competitive context. We also argue that insurance data are particularly well suited to such empirical investigations. To illustrate this claim, we use data on contracts and accidents to investigate the extent of asymmetric information in the French market for automobile insurance. Using various parametric and nonparametric methods, we find no evidence for the presence of asymmetric information in this market.","2000-02","2023-04-24 16:21:35","2023-04-24 16:21:37","","56-78","","1","108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JY3GJ4DJ","journalArticle","2001","Dionne, Georges; Gouriéroux, Christian; Vanasse, Charles","Testing for Evidence of Adverse Selection in the Automobile Insurance Market: A Comment","Journal of Political Economy","","0022-3808","10.1086/319557","https://www.journals.uchicago.edu/doi/10.1086/319557","The study conducted by researchers, Puelz and Snow in 1994 which presented empirical evidence of adverse selection in the market for automobile collision insurance is critiqued. Using data from a private insurer, the researchers have found strong evidence of adverse selection in the insurers' portfolio. Their test was based on individuals' choice of deductible risk in each class. From previous mathematical models, it is well known that if residual adverse selection is present in some risk classes, insurers will offer menus of contracts from which insured parties will self-select. Am empirical test of the theory is to verify, in each risk class, whether lower deductibles are chosen by insureds with higher accident probabilities.","2001-04","2023-04-24 16:21:35","2023-04-24 16:21:38","","444-453","","2","109","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ILWGBECN","journalArticle","1999","Cawley, John; Philipson, Tomas","An Empirical Examination of Information Barriers to Trade in Insurance","American Economic Review","","0002-8282","10.1257/aer.89.4.827","https://pubs.aeaweb.org/doi/10.1257/aer.89.4.827","This paper uses direct evidence to evaluate whether asymmetric information is a barrier to trade in the largest market for private insurance in the world: life insurance. We report several findings that seem difficult to reconcile with the conventional theory of insurance under asymmetric information. We conjecture that sellers may know their costs of production better than consumers in this market, as in those for most other products. (JEL D8, G1, I1, L0)","1999-09-01","2023-04-24 16:21:35","2023-04-24 16:21:38","","827-846","","4","89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U7X4GBXI","journalArticle","2016","Carter, Michael R.; Cheng, Lan; Sarris, Alexandros","Where and how index insurance can boost the adoption of improved agricultural technologies","Journal of Development Economics","","0304-3878","10.1016/j.jdeveco.2015.08.008","https://www.sciencedirect.com/science/article/pii/S0304387815000991","Remote sensing and other advances have led to an outpouring of programs that offer index insurance to small scale farmers with the expectation that this insurance will enable adoption of improved technologies and boost living standards. Despite these expectations, the evidence to date on the uptake and impacts of insurance is mixed. This paper steps back and considers theoretically where index insurance might be most effective, and whether it should be offered as a standalone contract, or explicitly interlinked with credit contracts. Emerging from this analysis is a set of nuanced recommendations based on the structure of risk and the property rights (collateral) environment.","2016-01-01","2023-12-13 14:00:15","2023-12-13 14:00:15","2023-12-13 14:00:15","59-71","","","118","","Journal of Development Economics","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\ftsib\Zotero\storage\4VZZZBLA\S0304387815000991.html","","","Technology adoption; Agricultural index insurance; Credit rationing; Interlinkage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ECCFN46","journalArticle","2019","Tang, Yingmei; Yang, Yue; Ge, Jihong; Chen, Jian","The impact of weather index insurance on agricultural technology adoption evidence from field economic experiment in China","China Agricultural Economic Review","","1756-137X","10.1108/CAER-05-2018-0107","https://doi.org/10.1108/CAER-05-2018-0107","Purpose The purpose of this paper is to empirically investigate the impact of weather index insurance on agricultural technology adoption in rural China. Design/methodology/approach A field experiment was conducted with 344 rural households/farmers in Heilongjiang and Jiangsu Provinces, China. DID model was used to evaluate farmers’ technology adoption with and without index insurance. Findings The results show that weather index insurance has a significant effect on the technology adoption of rural households; there is a regional difference in this effect between Heilongjiang and Jiangsu. Weather index insurance promotes technology adoption of rural households in Heilongjiang, while has limited impact on those in Jiangsu. Weather, planting scale and risk preference are also important factors influencing the technology adoption of rural households. Research limitations/implications This research is subject to some limitations. First, the experimental parameters are designed according to the actual situation to simulate reality, but the willingness in the experiment does not mean it will be put into action in reality. Second, due to the diversity of China’s climate, geography and economic environment, rural households are heterogeneous in rural China. Whether the conclusion can be generalized beyond the study area is naturally questionable. A study with more diverse samples is needed to gain a fuller understanding of index insurance’s effects on farmers in China. Originality/value This research provides a rigorous empirical analysis on the impact of weather index insurance on farmers’ agricultural technology adoption through a carefully designed field experiment.","2019-01-01","2023-12-13 13:59:50","2023-12-13 13:59:50","2023-12-13 13:59:49","622-641","","4","11","","","","","","","","","","","","","","","Emerald Insight","","Publisher: Emerald Publishing Limited","","C:\Users\ftsib\Zotero\storage\IVTWQZ7P\html.html","","","Field experiment; Agricultural technology adoption; Weather index-insurance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6IBPJJKA","thesis","2022","Comstock, Haden A.","THE EFFECTS OF GOVERNMENT FARM SUPPORT PROGRAMS ON THE ADOPTION OF FARM TECHNOLOGY AND SUSTAINABLE PRODUCTION PRACTICES","","","","","https://hammer.purdue.edu/articles/thesis/THE_EFFECTS_OF_GOVERNMENT_FARM_SUPPORT_PROGRAMS_ON_THE_ADOPTION_OF_FARM_TECHNOLOGY_AND_SUSTAINABLE_PRODUCTION_PRACTICES/19666332/1","This paper examines the relationship between the Federal Crop Insurance Program (FCIP) participation and technology adoption patterns, using farm-level data from the United States Department of Agriculture (USDA) Agricultural Resource Management Survey (ARMS). Participation in the federally subsidized crop insurance program may be correlated with technology adoption and other various risk management practices. Existing studies indicate that the subsidized FCIP may disincentivize producers from utilizing technology as a risk management tool. Empirical results indicate that producers enrolled in federal crop insurance programs may be more likely to have adopted PATs earlier than producers who were not enrolled in the FCIP. This could indicate that producers may not view the FCIP as a substitute for other risk management options, or that these producers may not view these technologies in the same risk-reducing lens as they may view the FCIP.","2022-04-28","2023-12-13 13:59:26","2023-12-13 13:59:26","2023-12-13 13:59:26","","","","","","","","","","","","Purdue University Graduate School","","en","","thesis","","","hammer.purdue.edu","","DOI: 10.25394/PGS.19666332.v1","","C:\Users\ftsib\Zotero\storage\CKW6IMMM\Comstock - 2022 - THE EFFECTS OF GOVERNMENT FARM SUPPORT PROGRAMS ON.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7YKSGWV5","journalArticle","2018","Freudenreich, Hanna; Mußhoff, Oliver","Insurance for Technology Adoption: An Experimental Evaluation of Schemes and Subsidies with Maize Farmers in Mexico","Journal of Agricultural Economics","","1477-9552","10.1111/1477-9552.12226","https://onlinelibrary.wiley.com/doi/abs/10.1111/1477-9552.12226","For farmers in developing countries, the combination of both risk aversion and the lack of insurance is often a major impediment to adoption of productivity-enhancing technologies, such as higher yielding hybrid seed. In a framed field experiment with Mexican maize farmers, we investigate whether bundling hybrid seed with an insurance scheme can increase its adoption, while also controlling for risk aversion. We test insurance schemes with different levels of risk coverage and premium subsidies and find that (1) all schemes significantly increase the degree of adoption of the higher yielding seed, (2) partial insurance schemes perform worse than full insurance, (3) weather index insurance with geographical basis risk performs no worse than indemnity insurance, and (4) premium subsidies significantly increase the adoption effect of indemnity insurance, but not that of index insurance.","2018","2023-12-13 13:58:45","2023-12-13 13:58:45","2023-12-13 13:58:45","96-120","","1","69","","","Insurance for Technology Adoption","","","","","","","en","© 2017 The Agricultural Economics Society","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/1477-9552.12226","","C:\Users\ftsib\Zotero\storage\R5QTSUX9\Freudenreich and Mußhoff - 2018 - Insurance for Technology Adoption An Experimental.pdf; C:\Users\ftsib\Zotero\storage\LPADA6FK\1477-9552.html","","","Mexico; technology adoption; Insurance; risk aversion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2XJPYS9U","journalArticle","2013","Foltz, Jeremy D.; Useche, Pilar; Barham, Bradford L.","Bundling Technology and Insurance: Packages versus Technology Traits","American Journal of Agricultural Economics","","0002-9092","10.1093/ajae/aas046","","","2013","2023-12-13 13:58:15","2025-03-16 14:49:59","2023-12-13 13:58:15","346-352","","2","95","","","Bundling Technology and Insurance","","","","","","","","","","","","JSTOR","","Publisher: [Agricultural & Applied Economics Association, Oxford University Press]","","C:\Users\ftsib\Zotero\storage\LM4BFUX4\Foltz et al. - 2013 - Bundling Technology and Insurance Packages versus.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBU66U9N","journalArticle","2010","Zhu, Xueqin; Lansink, Alfons Oude","Impact of CAP Subsidies on Technical Efficiency of Crop Farms in Germany, the Netherlands and Sweden","Journal of Agricultural Economics","","1477-9552","10.1111/j.1477-9552.2010.00254.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1477-9552.2010.00254.x","This paper analyses the impacts of CAP reforms, particularly subsidies on technical efficiency of crop farms. An output distance function is employed and estimated together with an inefficiency effects model to capture the effects of CAP subsidies and farmer characteristics on farm efficiency. The model is applied to FADN data (period 1995–2004) of crop farms in Germany, the Netherlands and Sweden. The study shows that the 10-year average technical efficiency is 64% in Germany, 76% in the Netherlands and 71% in Sweden. The average annual changes in technical efficiency are 0.1%, 0.4% and 2.3%, respectively. The share of crop subsidies in total subsidies has a negative impact on technical efficiency in Germany but a positive impact in Sweden, although insignificant in the Netherlands. The share of total subsidies in total farm revenues has negative impacts on technical efficiency in all three countries, consistent with income and insurance effects. Positive (negative) change in technical efficiency is mainly attributable to farm size (degree of specialisation) in Germany, and degree of specialisation (degree of subsidy dependence) in the Netherlands and Sweden.","2010","2023-12-13 13:57:31","2023-12-13 13:57:31","2023-12-13 13:57:31","545-564","","3","61","","","","","","","","","","en","© 2010 The Authors. Journal compilation © 2010 The Agricultural Economics Society","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1477-9552.2010.00254.x","","C:\Users\ftsib\Zotero\storage\QZPS7PCA\Zhu and Lansink - 2010 - Impact of CAP Subsidies on Technical Efficiency of.pdf; C:\Users\ftsib\Zotero\storage\VSWE8HML\j.1477-9552.2010.00254.html","","","Q12; Q18; technical efficiency; Crop farming; D21; frontier models; the CAP reform","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TIZPV9RR","journalArticle","2018","Zubor-Nemes, Anna; Fogarasi, József; Molnár, András; Kemény, Gábor","Farmers’ responses to the changes in Hungarian agricultural insurance system","Agricultural Finance Review","","0002-1466","10.1108/AFR-06-2017-0048","https://doi.org/10.1108/AFR-06-2017-0048","Purpose The purpose of this paper is to investigate the role of crop insurance among Hungarian crop farmers and the responses to the introduction of the two-scheme risk management system. Specifically, first, it examines the economic and environmental factors affecting the willingness of farmers to contract crop insurance. Second, it reveals the relationship between having crop insurance and technical efficiency of crop producing farms. Design/methodology/approach Probit models of panel data are applied to explore the factors of insurance decisions. The relationship between efficiency and insurance is investigated with two-stage data envelopment analysis (DEA) model with double bootstrap using panel data for the 2001 to 2014 period. Findings The results of Probit model estimations show that the education, the size, the indebtedness of crop producing farms and the new two-scheme risk management system are in positive correlation, while the concentration of farming activity are in negative correlation with the crop insurance contracting. The estimations of two-stage DEA model reveal that crop producing farms with an agricultural insurance contract are more efficient than the farmers without using this risk management tool. Originality/value Empirical investigation of the influencing factors of agricultural insurance demand in Hungary and the examination of the relationship between insurance and technical efficiency may contribute to the development of Hungarian risk management system.","2018-01-01","2023-12-13 13:57:08","2023-12-13 13:57:08","2023-12-13 13:57:08","275-288","","2","78","","","","","","","","","","","","","","","Emerald Insight","","Publisher: Emerald Publishing Limited","","C:\Users\ftsib\Zotero\storage\GW8GULHG\html.html","","","Efficiency; Risk management; Agricultural insurance; DEA; Double bootstrap; Hungarian agriculture","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
